kpi_id,layer,information_need,measure,formula_or_rule,source,frequency,target,owner,decision_action
KPI-BUS-001,Business,Is lifecycle operating performance improving?,Annual cooling O&M cost,Sum monthly O&M components,om_costs.csv,Annual,Lower than baseline,Engineering/Finance,Review benefit realization and cost drivers
KPI-SYS-001,System,Can cooling capacity meet required demand?,Cooling-service availability,Share of 15-minute capacity-state intervals with capacity_margin_kw >= 0,cooling_capacity_state.csv,15-minute aggregated to reporting period,>=99.95%,Data Center Operations,Capacity/redundancy review if below threshold
KPI-SYS-002,System,How long is intended redundancy lost?,Degraded redundancy hours,0.25 h times intervals where redundancy_state is not N+1,cooling_capacity_state.csv,15-minute/period,Lower than baseline,Data Center Operations,Review reliability and coincident-event exposure
KPI-SYS-003,System,How long is available cooling capacity insufficient?,Capacity-deficit hours,0.25 h times intervals where redundancy_state is capacity deficit,cooling_capacity_state.csv,15-minute/period,Minimize,Facilities Engineering,Root-cause and capacity action
KPI-REL-001,System,How much equipment unavailability occurs?,Equipment downtime,Sum failure-event downtime_hours,failures.csv,Event/annual,Lower than baseline,Maintenance,Failure-mode and maintainability action
KPI-ENE-001,System,How efficient is the cooling plant?,Weighted COP,Sum cooling_energy_kwh divided by sum cooling_electrical_energy_kwh over the same paired 15-minute observations,performance_telemetry_raw.csv,15-minute/period,>=3.30,Facilities Engineering,Optimization review if below threshold
KPI-ENE-002,System,How efficient is the modeled facility boundary?,Modeled PUE,Sum facility_energy_kwh divided by sum it_energy_kwh over paired observations,performance_telemetry_raw.csv,15-minute/period,<=1.50,Facilities Engineering,Energy balance review
KPI-MNT-001,Process,Is preventive maintenance being completed?,PM compliance,Completed planned PM orders divided by planned PM orders,maintenance_orders.csv,Monthly/period,>=95%,Maintenance,Recovery plan if below threshold
KPI-MON-001,Technical,Is one-minute monitoring sufficiently complete?,Daily monitoring completeness,Observed one-minute samples divided by expected samples,monitoring_completeness_daily.csv,Daily,>=95% each day,OT/Facilities Engineering,Investigate historian or sensor data gaps
KPI-PROJ-001,Project,Is schedule performance acceptable?,SPI,EV divided by PV,project_progress.csv,Control point,Monitor/decision threshold defined by PM plan,Project Manager,Schedule recovery analysis
KPI-PROJ-002,Project,Is cost performance acceptable?,CPI,EV divided by AC,project_progress.csv,Control point,Monitor/decision threshold defined by PM plan,Project Manager,Cost forecast and corrective action
